groupNames,Groups,Rings
thermal,1, 3-4
CH1_1,2, 5-8
CH2_1,3,12-Sep
CH1_2,4,13-16
CH2_2,5,17-20
CH1_3,6,21-24
CH2_3,7,25-28
CH1_4,8,29-32
CH2_4,9,33-36
CH1_5,10,37-40
CH2_5,11,41-44
CH1_6,12,45-48
CH2_6,13,49-52
CH1_7,14,53-56
CH2_7,15,57-60
CH1_8,16,61-64
CH2_8,17,65-68
CH1_9,18,69-72
CH2_9,19,73-76
CH1_10,20,77-80
CH2_10,21,81-84
CH1_11,22,85-88
CH2_11,23,88-92
CH1_12,24,93-96
CH2_12,25,97-100
CH1_13,26,101-104
CH2_13,27,105-108
CH1_14,28,109-112
CH2_14,29,113-116
CH1_15,30,117-120
CH2_15,31,121-124
CH1_16,32,125-128
CH2_16,633,129-132
thermal,34,135-136
